# fruit-tree-v0 [R] - empirically searched commands delivered FAITHFULLY within 1%
# criterion: ||(desired_command - achieved_return) / objective_range||_2 <= 0.01; horizon excluded
# protocol: greedy singleton verification on cuda, reset seed 0, clip(rem - r, None, max_return)
# search: 1125 batched CPU discovery rollouts / 6750 env steps; 206 singleton CUDA archive rollouts / 1236 env steps
# archive: 206 normally ended valid commands, 64 unique achieved outcomes; unfaithful outcomes included in dominance audit
# final: 64 unique rows, each reparsed then rerun twice (128 rollouts / 768 env steps); worst normalized error 0
# achieved column is exactly non-dominated (maximisation) against the complete singleton search archive
# checkpoint_sha256: c9af256fb6231867acfa78623c575b64875f29bec50268356bd6bfc4a1368a2a
# desired_command_0,desired_command_1,desired_command_2,desired_command_3,desired_command_4,desired_command_5,achieved_return_0,achieved_return_1,achieved_return_2,achieved_return_3,achieved_return_4,achieved_return_5
2.2215877,1.0173331,7.949971,3.63798,3.7755759,1.8269278,2.2215877,1.0173331,7.949971,3.63798,3.7755759,1.8269278
2.3905478,1.9749297,4.51911,0.07046741,1.7413982,8.1807785,2.3905478,1.9749297,4.51911,0.07046741,1.7413982,8.1807785
2.4216778,3.344154,6.3521633,0.03806333,0.66323197,6.4931355,2.4216778,3.344154,6.3521633,0.03806333,0.66323197,6.4931355
2.4392452,1.0052321,6.0958753,1.4728532,6.6989393,2.972341,2.4392452,1.0052321,6.0958753,1.4728532,6.6989393,2.972341
2.5078766,4.5929117,0.8193521,8.247524,0.33308446,1.952376,2.5078766,4.5929117,0.8193521,8.247524,0.33308446,1.952376
2.5305452,4.240613,2.220577,7.5177464,3.4788504,1.4365478,2.5305452,4.240613,2.220577,7.5177464,3.4788504,1.4365478
2.5850296,0.26144698,2.2834394,8.507773,3.9353561,0.40734768,2.5850296,0.26144698,2.2834394,8.507773,3.9353561,0.40734768
2.7196026,2.1799388,2.7979965,7.209506,4.7082734,2.4244637,2.7196026,2.1799388,2.7979965,7.209506,4.7082734,2.4244637
2.7582462,5.2847652,2.4989128,0.63079995,7.0743394,2.788294,2.7582462,5.2847652,2.4989128,0.63079995,7.0743394,2.788294
3.0897357,5.622379,0.9737901,5.7521877,3.9443095,3.0411975,3.0897357,5.622379,0.9737901,5.7521877,3.9443095,3.0411975
3.0949795,1.227585,3.84352,7.199386,3.787996,2.8215985,3.0949795,1.227585,3.84352,7.199386,3.787996,2.8215985
3.2679439,3.2887716,2.9159834,0.49403134,7.8662925,2.8069446,3.2679439,3.2887716,2.9159834,0.49403134,7.8662925,2.8069446
3.5775313,3.673074,5.433926,2.0613105,2.6338813,5.744207,3.5775313,3.673074,5.433926,2.0613105,2.6338813,5.744207
3.7064826,7.6085005,3.7300322,2.7189226,1.4363049,2.236974,3.7064826,7.6085005,3.7300322,2.7189226,1.4363049,2.236974
3.7357821,6.0708885,2.1739187,4.8991194,0.27124697,4.5152383,3.7357821,6.0708885,2.1739187,4.8991194,0.27124697,4.5152383
3.7460115,0.9122886,5.920726,4.370566,2.7366297,4.8465605,3.7460115,0.9122886,5.920726,4.370566,2.7366297,4.8465605
3.9458373,0.6258646,0.7266725,9.066862,1.1305672,0.15630224,3.9458373,0.6258646,0.7266725,9.066862,1.1305672,0.15630224
3.9660008,3.6266904,4.4465566,6.036607,1.5813547,3.5220425,3.9660008,3.6266904,4.4465566,6.036607,1.5813547,3.5220425
4.013323,7.170809,1.4698304,3.8218217,2.2065964,3.2919521,4.013323,7.170809,1.4698304,3.8218217,2.2065964,3.2919521
