env,n_objectives,n_actions,n_states,n_unique_states,obs_repeat_ratio,gt_method,frac_goal_active,probes_per_state,score,spearman_flip_fraction,auroc_detect_goal_active,spearman_nearest_flip,mean_I,median_I,basis_n_multi,basis_n_forks,basis_mi_forks,basis_mi_nonfork,elapsed_s
fourroom2,3,4,40,28,0.3,grid,0.5,533,kl,0.772356674021768,0.9775,-0.2998430141287284,0.04628207384876126,0.010526938213157202,2,0,0.0,0.0,184.7
fourroom2,3,4,40,28,0.3,grid,0.5,533,tv,0.8236179430005658,0.99,-0.2448979591836734,0.09434584851948341,0.05627351479377428,2,0,0.0,0.0,184.7
fourroom2,3,4,40,28,0.3,grid,0.5,533,js,0.7857028032233483,0.9825,-0.17896389324960751,0.011736120515603781,0.002527428414402565,2,0,0.0,0.0,184.7
fourroom2,3,4,40,28,0.3,grid,0.5,533,flip,0.9705075251982814,0.975,0.015698587127158554,0.1169960442092222,0.0,2,0,0.0,0.0,184.7
rsg2,3,4,12,12,0.0,grid,0.667,562,kl,0.7154157546749257,0.96875,-0.11904761904761905,0.051026616130089186,0.023711632583732302,0,0,0.0,0.0,28.3
rsg2,3,4,12,12,0.0,grid,0.667,562,tv,0.7367714488443264,0.90625,-0.261904761904762,0.06892564942803935,0.04733309406363709,0,0,0.0,0.0,28.3
rsg2,3,4,12,12,0.0,grid,0.667,562,js,0.6727043663361241,0.96875,0.04761904761904763,0.014456178656224733,0.007609906424473698,0,0,0.0,0.0,28.3
rsg2,3,4,12,12,0.0,grid,0.667,562,flip,0.8985507246376812,1.0,-0.6666666666666669,0.119281045751634,0.04188948306595366,0,0,0.0,0.0,28.3
three_tree,3,3,56,18,0.679,grid,1.0,552,kl,0.7551813057180546,nan,-0.25920229672921147,1.0222844823065194,1.050197127278083,13,10,0.8110174282406986,4.2024843040875737e-13,516.9
three_tree,3,3,56,18,0.679,grid,1.0,552,tv,0.7551813057180546,nan,-0.25920229672921147,0.6326886157695596,0.6501291724700795,13,10,0.8110174282406986,4.2024843040875737e-13,516.9
three_tree,3,3,56,18,0.679,grid,1.0,552,js,0.7551813057180546,nan,-0.25920229672921147,0.298075836920371,0.3069455417863461,13,10,0.8110174282406986,4.2024843040875737e-13,516.9
three_tree,3,3,56,18,0.679,grid,1.0,552,flip,0.7613622739788132,nan,-0.2548805236318544,0.6328428830697433,0.6479128856624319,13,10,0.8110174282406986,4.2024843040875737e-13,516.9
c2,4,4,108,73,0.324,mc,1.0,868,kl,0.7262922252226429,nan,-0.6847666097258437,0.28764726370128396,0.27220838737283626,13,5,0.14247096914356966,0.0006910996346766872,32.5
c2,4,4,108,73,0.324,mc,1.0,868,tv,0.7456052642703196,nan,-0.6798458515547925,0.33645943118491944,0.35227935856887993,13,5,0.14247096914356966,0.0006910996346766872,32.5
